field.markers39.marker_name,field.markers39.subject_name,field.markers39.segment_name,field.markers39.translation.x,field.markers39.translation.y,field.markers39.translation.z,field.markers39.occluded,field.markers40.marker_name,field.markers40.subject_name,field.markers40.segment_name,field.markers40.translation.x,field.markers40.translation.y,field.markers40.translation.z,field.markers40.occluded,field.markers41.marker_name,field.markers41.subject_name,field.markers41.segment_name,field.markers41.translation.x,field.markers41.translation.y,field.markers41.translation.z,field.markers41.occluded,field.markers42.marker_name,field.markers42.subject_name,field.markers42.segment_name,field.markers42.translation.x,field.markers42.translation.y,field.markers42.translation.z,field.markers42.occluded
Bottle 1,Bottle,Bottle,1159.87646484,189.367095947,172.813018799,0,Bottle 2,Bottle,Bottle,1120.53601074,198.441360474,56.873878479,0,Bottle 3,Bottle,Bottle,1194.9744873,213.496109009,59.3641815186,0,Bottle 4,Bottle,Bottle,1184.46203613,147.973693848,59.3652229309,0
Bottle 1,Bottle,Bottle,1159.91674805,189.373321533,172.809677124,0,Bottle 2,Bottle,Bottle,1120.54785156,198.454833984,56.8858795166,0,Bottle 3,Bottle,Bottle,1194.91516113,213.457168579,59.383228302,0,Bottle 4,Bottle,Bottle,1184.41882324,147.970108032,59.3961105347,0
Bottle 1,Bottle,Bottle,1159.91491699,189.361801147,172.847793579,0,Bottle 2,Bottle,Bottle,1120.51330566,198.4269104,56.8607902527,0,Bottle 3,Bottle,Bottle,1194.95385742,213.471160889,59.4024810791,0,Bottle 4,Bottle,Bottle,1184.4395752,147.97605896,59.3801612854,0
Bottle 1,Bottle,Bottle,1159.90820312,189.383300781,172.826766968,0,Bottle 2,Bottle,Bottle,1120.52038574,198.41192627,56.837387085,0,Bottle 3,Bottle,Bottle,1194.90234375,213.454315186,59.4163665771,0,Bottle 4,Bottle,Bottle,1184.42163086,147.953292847,59.3381233215,0
Bottle 1,Bottle,Bottle,1159.90307617,189.372879028,172.843704224,0,Bottle 2,Bottle,Bottle,1120.53027344,198.41885376,56.8769569397,0,Bottle 3,Bottle,Bottle,1194.96374512,213.511611938,59.3931236267,0,Bottle 4,Bottle,Bottle,1184.46972656,147.993392944,59.2863883972,0
Bottle 1,Bottle,Bottle,1159.90881348,189.323547363,172.887359619,0,Bottle 2,Bottle,Bottle,1120.55004883,198.413192749,56.8538398743,0,Bottle 3,Bottle,Bottle,1194.90881348,213.462783813,59.3767166138,0,Bottle 4,Bottle,Bottle,1184.43615723,147.969345093,59.3656578064,0
Bottle 1,Bottle,Bottle,1159.89611816,189.366195679,172.825790405,0,Bottle 2,Bottle,Bottle,1120.54772949,198.414657593,56.8928756714,0,Bottle 3,Bottle,Bottle,1194.94494629,213.467575073,59.3719711304,0,Bottle 4,Bottle,Bottle,1184.46313477,147.983276367,59.3208465576,0
Bottle 1,Bottle,Bottle,1159.89868164,189.381408691,172.829727173,0,Bottle 2,Bottle,Bottle,1120.53930664,198.446487427,56.8720054626,0,Bottle 3,Bottle,Bottle,1194.93444824,213.476455688,59.372505188,0,Bottle 4,Bottle,Bottle,1184.45007324,147.973983765,59.3872070312,0
Bottle 1,Bottle,Bottle,1159.90515137,189.369979858,172.843154907,0,Bottle 2,Bottle,Bottle,1120.53613281,198.398956299,56.8367843628,0,Bottle 3,Bottle,Bottle,1194.91992188,213.46131897,59.3979759216,0,Bottle 4,Bottle,Bottle,1184.42944336,147.989807129,59.3767814636,0
Bottle 1,Bottle,Bottle,1159.90637207,189.366241455,172.836212158,0,Bottle 2,Bottle,Bottle,1120.52929688,198.438995361,56.8791122437,0,Bottle 3,Bottle,Bottle,1194.92443848,213.471481323,59.3644523621,0,Bottle 4,Bottle,Bottle,1184.45092773,147.985626221,59.3750953674,0
Bottle 1,Bottle,Bottle,1159.8873291,189.375488281,172.843399048,0,Bottle 2,Bottle,Bottle,1120.54333496,198.387054443,56.8519020081,0,Bottle 3,Bottle,Bottle,1194.92541504,213.455276489,59.3686714172,0,Bottle 4,Bottle,Bottle,1184.42810059,147.994064331,59.3833122253,0
Bottle 1,Bottle,Bottle,1159.89172363,189.369110107,172.828109741,0,Bottle 2,Bottle,Bottle,1120.52160645,198.420974731,56.8779792786,0,Bottle 3,Bottle,Bottle,1194.93859863,213.48449707,59.384349823,0,Bottle 4,Bottle,Bottle,1184.45043945,148.00553894,59.3527412415,0
Bottle 1,Bottle,Bottle,1159.92285156,189.368377686,172.835723877,0,Bottle 2,Bottle,Bottle,1120.53076172,198.429244995,56.8803787231,0,Bottle 3,Bottle,Bottle,1194.91271973,213.469650269,59.3665809631,0,Bottle 4,Bottle,Bottle,1184.421875,147.945297241,59.4103889465,0
Bottle 1,Bottle,Bottle,1160.18713379,189.555358887,172.867324829,0,Bottle 2,Bottle,Bottle,1120.78283691,199.536392212,57.0111846924,0,Bottle 3,Bottle,Bottle,1195.60876465,213.355178833,59.3927574158,0,Bottle 4,Bottle,Bottle,1184.39343262,147.953323364,59.3967475891,0
Bottle 1,Bottle,Bottle,1163.53417969,191.368804932,172.787078857,0,Bottle 2,Bottle,Bottle,1123.96411133,203.104446411,57.2557067871,0,Bottle 3,Bottle,Bottle,1199.3638916,213.268554688,59.1740341187,0,Bottle 4,Bottle,Bottle,1185.46704102,148.591064453,59.3457756042,0
Bottle 1,Bottle,Bottle,1165.85351562,193.651550293,172.91065979,0,Bottle 2,Bottle,Bottle,1125.85559082,205.80809021,57.4634284973,0,Bottle 3,Bottle,Bottle,1201.46582031,214.30355835,59.0023727417,0,Bottle 4,Bottle,Bottle,1186.07312012,150.041137695,59.3304176331,0
Bottle 1,Bottle,Bottle,1166.07629395,194.724090576,172.865020752,0,Bottle 2,Bottle,Bottle,1126.56396484,207.230926514,57.318107605,0,Bottle 3,Bottle,Bottle,1202.31323242,215.523101807,58.980846405,0,Bottle 4,Bottle,Bottle,1186.49584961,151.146896362,59.2826728821,0
Bottle 1,Bottle,Bottle,1165.19958496,195.847976685,173.005447388,0,Bottle 2,Bottle,Bottle,1127.12841797,207.538208008,56.7332420349,0,Bottle 3,Bottle,Bottle,1202.63964844,215.423141479,59.2678031921,0,Bottle 4,Bottle,Bottle,1186.24658203,151.196304321,59.9867401123,0
Bottle 1,Bottle,Bottle,1167.72021484,199.849639893,173.427947998,0,Bottle 2,Bottle,Bottle,1128.34692383,208.838912964,57.3843803406,0,Bottle 3,Bottle,Bottle,1204.02282715,215.38243103,58.9407577515,0,Bottle 4,Bottle,Bottle,1185.80725098,151.55027771,61.8456916809,0
Bottle 1,Bottle,Bottle,1170.51818848,206.571182251,174.533996582,0,Bottle 2,Bottle,Bottle,1128.98583984,210.904663086,59.0849342346,0,Bottle 3,Bottle,Bottle,1204.85742188,216.813323975,58.7122421265,0,Bottle 4,Bottle,Bottle,1186.60388184,153.229522705,64.7060928345,0
Bottle 1,Bottle,Bottle,1174.26196289,215.975753784,177.089447021,0,Bottle 2,Bottle,Bottle,1129.7956543,212.558685303,62.6975669861,0,Bottle 3,Bottle,Bottle,1205.55444336,219.138809204,60.0576820374,0,Bottle 4,Bottle,Bottle,1188.5090332,155.842163086,70.5023956299,0
Bottle 1,Bottle,Bottle,1174.87414551,218.015258789,181.095993042,0,Bottle 2,Bottle,Bottle,1129.65808105,211.105239868,67.0844116211,0,Bottle 3,Bottle,Bottle,1204.94506836,219.564590454,63.5755310059,0,Bottle 4,Bottle,Bottle,1189.17382812,156.257003784,75.3661880493,0
Bottle 1,Bottle,Bottle,1175.21826172,211.147369385,189.961791992,0,Bottle 2,Bottle,Bottle,1129.28466797,207.396392822,76.0356140137,0,Bottle 3,Bottle,Bottle,1204.5802002,217.737075806,72.5768814087,0,Bottle 4,Bottle,Bottle,1190.20629883,153.46875,82.1977005005,0
Bottle 1,Bottle,Bottle,1212.66491699,133.658126831,621.371643066,0,Bottle 2,Bottle,Bottle,1170.32983398,129.126815796,506.112823486,0,Bottle 3,Bottle,Bottle,1237.03063965,167.075317383,507.501922607,0,Bottle 4,Bottle,Bottle,1246.57641602,101.634689331,507.313446045,0
